,accuracy,precision,recall,f1_score,roc_auc,Training Time (s),Inference Time (ms),Rank
LogisticRegression,0.63,0.6292134831460674,0.5773195876288659,0.6021505376344086,0.667700930837754,0.14573383331298828,3.3757686614990234,1.0
DecisionTree,0.545,0.5267857142857143,0.6082474226804123,0.5645933014354066,0.5523971574416975,0.009281635284423828,3.544330596923828,2.0
RandomForest,0.585,0.5777777777777777,0.5360824742268041,0.5561497326203209,0.6011410269242318,0.38571715354919434,112.16330528259277,3.0
SVM,0.555,0.5909090909090909,0.26804123711340205,0.36879432624113473,0.5719147232509258,0.14766311645507812,40.1763916015625,4.0
